PSN|EMAIL|PARTNER_ID
V2DUVRCB|nnr3456r@gmail.com|1
V2DUVRCB|nnr3456r@gmail.com|1
YOI8Y08G|nnr3456r@gmail.com|2
MH6AEY9D|nnr3456r@gmail.com|1
WT13IFGT|nnr3456r@gmail.com|7
WT13IFGT|xqeg921d@hotmail.com|7
WT13IFGT|nnr3456r@gmail.com|7
NTMOU5PE|nnr3456r@gmail.com|3
NTMOU5PE|kqj1xa4c@gmail.com|3
D0KUPSR1|xqeg921d@hotmail.com|5
MSFVQ56Y|xqeg921d@hotmail.com|2
J6F916QD|kqj1xa4c@gmail.com|5
J6F916QD|nnr3456r@gmail.com|5
J6F916QD|xqeg921d@hotmail.com|5
5YMEKG07|kqj1xa4c@gmail.com|1
Z90TIX31|9dav1aqv@gmail.com|3
Z90TIX31|nnr3456r@gmail.com|3
2IVP4KY0|xqeg921d@hotmail.com|1
2IVP4KY0|xqeg921d@hotmail.com|1
06V187YT|9qlyq42p@yahoo.com|5
06V187YT|p28uc8zm@example.com|5
06V187YT|nnr3456r@gmail.com|5
C8MJJ2LO|vq5nw9ns@example.com|4
FBFRYULD|vq5nw9ns@example.com|2
FBFRYULD|nnr3456r@gmail.com|2
ZHVW4L6O|9dav1aqv@gmail.com|2
ZHVW4L6O|kqj1xa4c@gmail.com|2
9K4AVQOG|kqj1xa4c@gmail.com|1
PWVWZON6|9dav1aqv@gmail.com|3
PWVWZON6|nnr3456r@gmail.com|3
PWVWZON6|xqeg921d@hotmail.com|3
V3SCZZ5V|66830mb2@gmail.com|9
V3SCZZ5V|f1tgh8he@yahoo.com|9
V3SCZZ5V|mxjgazsf@outlook.com|9
V3SCZZ5V|9dav1aqv@gmail.com|9
V3SCZZ5V|eh19l2nr@hotmail.com|9
MEUFG752|495xjrko@outlook.com|5
MEUFG752|9qlyq42p@yahoo.com|5
MEUFG752|nnr3456r@gmail.com|5
MEUFG752|mxjgazsf@outlook.com|5
9MHNFFXV|9dav1aqv@gmail.com|7
3BEJRN1A|eh19l2nr@hotmail.com|1
690YBCPS|8sgng8i1@gmail.com|9
690YBCPS|rryk34oi@example.com|9
690YBCPS|nnr3456r@gmail.com|9
6H38RI4H|7c8mk96c@example.com|3
6H38RI4H|8sgng8i1@gmail.com|3
5CIX0NQM|xqeg921d@hotmail.com|2
T6MEXJH8|5eshrm6s@outlook.com|4
